Port Sets,count
17138-17134-33972,2215
17138-17134-34222,1453
17138-17134-34230,1403
17138-17134-33966,1412
17138-17134-33974,1324
17138-34218-34220,1005
17138-34218-33968,1026
17138-34218-34224,1074
17138-34218-34228,981
17138-34218-33962,1028
17138-34218-33960,1009
17138-34218-33964,978
17138-34218-34216,990
17138-34218-34226,1017
17138-34218-33970,994
17138-34218-33972,973
17138-34218-34222,716
17138-34218-34230,691
17138-34218-33966,703
17138-34218-33974,659
17138-34220-33968,1016
17138-34220-34224,1033
17138-34220-34228,988
17138-34220-33962,1001
17138-34220-33960,989
17138-34220-33964,1000
17138-34220-34216,971
17138-34220-34226,1002
17138-34220-33970,969
17138-34220-33972,977
17138-34220-34222,741
17138-34220-34230,685
17138-34220-33966,698
17138-34220-33974,654
17138-33968-34224,1029
17138-33968-34228,987
17138-33968-33962,1001
17138-33968-33960,1025
17138-33968-33964,995
17138-33968-34216,1001
17138-33968-34226,1011
17138-33968-33970,996
17138-33968-33972,978
17138-33968-34222,722
17138-33968-34230,694
17138-33968-33966,687
17138-33968-33974,657
17138-34224-34228,1002
17138-34224-33962,1015
17138-34224-33960,1018
17138-34224-33964,987
17138-34224-34216,1011
17138-34224-34226,1020
17138-34224-33970,995
17138-34224-33972,1005
17138-34224-34222,725
17138-34224-34230,688
17138-34224-33966,711
17138-34224-33974,652
17138-34228-33962,1007
17138-34228-33960,967
17138-34228-33964,965
17138-34228-34216,982
17138-34228-34226,1002
17138-34228-33970,963
17138-34228-33972,941
17138-34228-34222,704
17138-34228-34230,689
17138-34228-33966,666
17138-34228-33974,637
17138-33962-33960,1000
17138-33962-33964,989
17138-33962-34216,988
17138-33962-34226,1032
17138-33962-33970,1005
17138-33962-33972,977
17138-33962-34222,714
17138-33962-34230,708
17138-33962-33966,723
17138-33962-33974,664
17138-33960-33964,988
17138-33960-34216,987
17138-33960-34226,1021
17138-33960-33970,971
17138-33960-33972,988
17138-33960-34222,723
17138-33960-34230,687
17138-33960-33966,696
17138-33960-33974,661
17138-33964-34216,953
17138-33964-34226,991
17138-33964-33970,985
17138-33964-33972,950
17138-33964-34222,684
17138-33964-34230,682
17138-33964-33966,665
17138-33964-33974,647
17138-34216-34226,1006
17138-34216-33970,983
17138-34216-33972,978
17138-34216-34222,696
17138-34216-34230,693
17138-34216-33966,675
17138-34216-33974,654
17138-34226-33970,987
17138-34226-33972,1017
17138-34226-34222,705
17138-34226-34230,699
17138-34226-33966,700
17138-34226-33974,672
17138-33970-33972,957
17138-33970-34222,720
17138-33970-34230,676
17138-33970-33966,675
17138-33970-33974,636
17138-33972-34222,711
17138-33972-34230,684
17138-33972-33966,650
17138-33972-33974,630
17138-34222-34230,493
17138-34222-33966,511
17138-34222-33974,492
17138-34230-33966,522
17138-34230-33974,476
17138-33966-33974,471
17130-17136-17142,10314
17130-17136-17134,10448
17130-17136-34218,2469
17130-17136-34220,2406
17130-17136-33968,2420
17130-17136-34224,2441
17130-17136-34228,2377
17130-17136-33962,2427
17130-17136-33960,2419
17130-17136-33964,2362
17130-17136-34216,2374
17130-17136-34226,2377
17130-17136-33970,2357
17130-17136-33972,2354
17130-17136-34222,1516
17130-17136-34230,1483
17130-17136-33966,1483
17130-17136-33974,1386
17130-17142-17134,8869
17130-17142-34218,2288
17130-17142-34220,2243
17130-17142-33968,2255
17130-17142-34224,2290
17130-17142-34228,2233
17130-17142-33962,2280
17130-17142-33960,2243
17130-17142-33964,2163
17130-17142-34216,2186
17130-17142-34226,2215
17130-17142-33970,2209
17130-17142-33972,2198
17130-17142-34222,1441
17130-17142-34230,1392
17130-17142-33966,1410
17130-17142-33974,1310
17130-17134-34218,2316
17130-17134-34220,2259
17130-17134-33968,2251
17130-17134-34224,2287
17130-17134-34228,2233
17130-17134-33962,2272
17130-17134-33960,2250
17130-17134-33964,2178
17130-17134-34216,2225
17130-17134-34226,2243
17130-17134-33970,2180
17130-17134-33972,2205
17130-17134-34222,1450
17130-17134-34230,1398
17130-17134-33966,1415
17130-17134-33974,1322
17130-34218-34220,1001
17130-34218-33968,1025
17130-34218-34224,1067
17130-34218-34228,979
17130-34218-33962,1021
17130-34218-33960,1007
17130-34218-33964,982
17130-34218-34216,995
17130-34218-34226,1017
17130-34218-33970,991
17130-34218-33972,971
17130-34218-34222,710
17130-34218-34230,690
17130-34218-33966,697
17130-34218-33974,654
17130-34220-33968,1016
17130-34220-34224,1030
17130-34220-34228,983
17130-34220-33962,1001
17130-34220-33960,986
17130-34220-33964,994
17130-34220-34216,967
17130-34220-34226,1001
17130-34220-33970,970
17130-34220-33972,966
17130-34220-34222,737
17130-34220-34230,685
17130-34220-33966,697
17130-34220-33974,654
17130-33968-34224,1031
17130-33968-34228,982
17130-33968-33962,1000
17130-33968-33960,1018
17130-33968-33964,994
17130-33968-34216,1000
17130-33968-34226,1011
17130-33968-33970,990
17130-33968-33972,974
17130-33968-34222,716
17130-33968-34230,692
17130-33968-33966,684
17130-33968-33974,655
17130-34224-34228,998
17130-34224-33962,1012
17130-34224-33960,1018
17130-34224-33964,991
17130-34224-34216,1010
17130-34224-34226,1014
17130-34224-33970,1000
17130-34224-33972,1003
17130-34224-34222,720
17130-34224-34230,690
17130-34224-33966,709
17130-34224-33974,649
17130-34228-33962,1013
17130-34228-33960,960
17130-34228-33964,956
17130-34228-34216,972
17130-34228-34226,997
17130-34228-33970,967
17130-34228-33972,938
17130-34228-34222,700
17130-34228-34230,688
17130-34228-33966,670
17130-34228-33974,636
17130-33962-33960,1002
17130-33962-33964,987
17130-33962-34216,988
17130-33962-34226,1024
17130-33962-33970,1004
17130-33962-33972,975
17130-33962-34222,713
17130-33962-34230,710
17130-33962-33966,723
17130-33962-33974,663
17130-33960-33964,990
17130-33960-34216,983
17130-33960-34226,1021
17130-33960-33970,967
17130-33960-33972,978
17130-33960-34222,718
17130-33960-34230,685
17130-33960-33966,694
17130-33960-33974,657
17130-33964-34216,950
17130-33964-34226,985
17130-33964-33970,983
17130-33964-33972,944
17130-33964-34222,682
17130-33964-34230,677
17130-33964-33966,665
17130-33964-33974,642
17130-34216-34226,995
17130-34216-33970,987
17130-34216-33972,976
17130-34216-34222,691
17130-34216-34230,694
17130-34216-33966,671
17130-34216-33974,654
17130-34226-33970,988
17130-34226-33972,1006
17130-34226-34222,702
17130-34226-34230,695
17130-34226-33966,701
17130-34226-33974,671
17130-33970-33972,957
17130-33970-34222,717
17130-33970-34230,677
17130-33970-33966,672
17130-33970-33974,637
17130-33972-34222,703
17130-33972-34230,682
17130-33972-33966,648
17130-33972-33974,631
17130-34222-34230,490
17130-34222-33966,513
17130-34222-33974,488
17130-34230-33966,520
17130-34230-33974,476
17130-33966-33974,467
17136-17142-17134,8842
17136-17142-34218,2275
17136-17142-34220,2234
17136-17142-33968,2250
17136-17142-34224,2282
17136-17142-34228,2240
17136-17142-33962,2261
17136-17142-33960,2249
17136-17142-33964,2181
17136-17142-34216,2212
17136-17142-34226,2204
17136-17142-33970,2198
17136-17142-33972,2197
17136-17142-34222,1444
17136-17142-34230,1399
17136-17142-33966,1414
17136-17142-33974,1299
17136-17134-34218,2315
17136-17134-34220,2272
17136-17134-33968,2250
17136-17134-34224,2279
17136-17134-34228,2232
17136-17134-33962,2259
17136-17134-33960,2250
17136-17134-33964,2183
17136-17134-34216,2232
17136-17134-34226,2244
17136-17134-33970,2178
17136-17134-33972,2205
17136-17134-34222,1453
17136-17134-34230,1398
17136-17134-33966,1415
17136-17134-33974,1309
17136-34218-34220,1008
17136-34218-33968,1029
17136-34218-34224,1070
17136-34218-34228,981
17136-34218-33962,1021
17136-34218-33960,1015
17136-34218-33964,980
17136-34218-34216,998
17136-34218-34226,1016
17136-34218-33970,994
17136-34218-33972,976
17136-34218-34222,717
17136-34218-34230,691
17136-34218-33966,702
17136-34218-33974,661
17136-34220-33968,1014
17136-34220-34224,1035
17136-34220-34228,985
17136-34220-33962,1004
17136-34220-33960,987
17136-34220-33964,1003
17136-34220-34216,972
17136-34220-34226,996
17136-34220-33970,972
17136-34220-33972,970
17136-34220-34222,737
17136-34220-34230,685
17136-34220-33966,697
17136-34220-33974,652
17136-33968-34224,1033
17136-33968-34228,992
17136-33968-33962,1002
17136-33968-33960,1028
17136-33968-33964,989
17136-33968-34216,1003
17136-33968-34226,1012
17136-33968-33970,992
